Mfr Name,Name,Carline,MPG
BMW,Mini Cooper Paceman,BMW - Compact Cars,27
BMW,Mini Cooper Paceman,BMW - Compact Cars,29
BMW,Mini Cooper S Countryman,BMW - Compact Cars,28
BMW,Mini Cooper S Countryman,BMW - Compact Cars,29
BMW,Mini Cooper S Countryman All4,BMW - Compact Cars,26
BMW,Mini Cooper S Countryman All4,BMW - Compact Cars,27
BMW,Mini Cooper S Paceman,BMW - Compact Cars,28
BMW,Mini Cooper S Paceman,BMW - Compact Cars,29
BMW,Mini Cooper S Paceman ALL4,BMW - Compact Cars,26
BMW,Mini Cooper S Paceman ALL4,BMW - Compact Cars,27
BMW,Mini JCW Countryman ALL4,BMW - Compact Cars,26
BMW,Mini JCW Countryman ALL4,BMW - Compact Cars,27
BMW,Mini JCW Paceman ALL4,BMW - Compact Cars,26
BMW,Mini JCW Paceman ALL4,BMW - Compact Cars,27
Mitsubishi Motors Co,LANCER,Mitsubishi Motors Co - Compact Cars,30
Mitsubishi Motors Co,LANCER,Mitsubishi Motors Co - Compact Cars,28
Mitsubishi Motors Co,LANCER,Mitsubishi Motors Co - Compact Cars,27
Mitsubishi Motors Co,LANCER,Mitsubishi Motors Co - Compact Cars,25
Mitsubishi Motors Co,LANCER 4WD,Mitsubishi Motors Co - Compact Cars,26
Nissan,VERSA,Nissan - Compact Cars,30
Nissan,VERSA,Nissan - Compact Cars,35
Nissan,VERSA,Nissan - Compact Cars,30
Rolls-Royce,Dawn,Rolls-Royce - Compact Cars,14
Rolls-Royce,Phantom Coupe,Rolls-Royce - Compact Cars,14
Rolls-Royce,Phantom Drophead Coupe,Rolls-Royce - Compact Cars,14
Toyota,tC,Toyota - Compact Cars,26
Toyota,tC,Toyota - Compact Cars,26
Subaru,IMPREZA,Subaru - Compact Cars,31
Subaru,IMPREZA,Subaru - Compact Cars,28
Subaru,WRX,Subaru - Compact Cars,21
Subaru,WRX,Subaru - Compact Cars,23
Subaru,WRX,Subaru - Compact Cars,19
Toyota,PRIUS c,Toyota - Compact Cars,50
Toyota,YARIS,Toyota - Compact Cars,32
Toyota,YARIS,Toyota - Compact Cars,33
Volkswagen Group of America,Beetle,Volkswagen Group of America - Compact Cars,28
Volkswagen Group of America,Beetle,Volkswagen Group of America - Compact Cars,28
Volkswagen Group of America,Beetle,Volkswagen Group of America - Compact Cars,27
Volkswagen Group of America,Beetle,Volkswagen Group of America - Compact Cars,26
Volkswagen Group of America,CC,Volkswagen Group of America - Compact Cars,25
Volkswagen Group of America,CC,Volkswagen Group of America - Compact Cars,25
Volkswagen Group of America,CC 4Motion,Volkswagen Group of America - Compact Cars,20
Volkswagen Group of America,Golf,Volkswagen Group of America - Compact Cars,29
Volkswagen Group of America,Golf,Volkswagen Group of America - Compact Cars,30
Volkswagen Group of America,Golf R,Volkswagen Group of America - Compact Cars,25
Volkswagen Group of America,Golf R,Volkswagen Group of America - Compact Cars,25
Volkswagen Group of America,GTI,Volkswagen Group of America - Compact Cars,28
Volkswagen Group of America,GTI,Volkswagen Group of America - Compact Cars,28
Volkswagen Group of America,Jetta,Volkswagen Group of America - Compact Cars,32
Volkswagen Group of America,Jetta,Volkswagen Group of America - Compact Cars,33
Volkswagen Group of America,Jetta,Volkswagen Group of America - Compact Cars,29
Volkswagen Group of America,Jetta,Volkswagen Group of America - Compact Cars,29
Volkswagen Group of America,Jetta,Volkswagen Group of America - Compact Cars,27
Volkswagen Group of America,Jetta,Volkswagen Group of America - Compact Cars,27
Volkswagen Group of America,Jetta Hybrid,Volkswagen Group of America - Compact Cars,44
Volvo,S60 AWD,Volvo - Compact Cars,25
Volvo,S60 AWD,Volvo - Compact Cars,23
Volvo,S60 AWD,Volvo - Compact Cars,21
Volvo,S60 CC AWD,Volvo - Compact Cars,23
Volvo,S60 FWD,Volvo - Compact Cars,30
Volvo,S60 FWD,Volvo - Compact Cars,27
Volvo,S60 Inscription AWD,Volvo - Compact Cars,23
Volvo,S60 Inscription FWD,Volvo - Compact Cars,29
Volvo,S60 Polestar AWD,Volvo - Compact Cars,21
Honda,RLX,Honda - Midsize Cars,30
Honda,RLX,Honda - Midsize Cars,24
Volkswagen Group of America,A6,Volkswagen Group of America - Midsize Cars,28
Volkswagen Group of America,A6 quattro,Volkswagen Group of America - Midsize Cars,26
Volkswagen Group of America,A6 quattro,Volkswagen Group of America - Midsize Cars,24
Volkswagen Group of America,A6 quattro,Volkswagen Group of America - Midsize Cars,30
Volkswagen Group of America,A7 quattro,Volkswagen Group of America - Midsize Cars,24
Volkswagen Group of America,A7 quattro,Volkswagen Group of America - Midsize Cars,30
Volkswagen Group of America,RS7,Volkswagen Group of America - Midsize Cars,18
Volkswagen Group of America,S6,Volkswagen Group of America - Midsize Cars,21
Volkswagen Group of America,S7,Volkswagen Group of America - Midsize Cars,21
Volkswagen Group of America,S8,Volkswagen Group of America - Midsize Cars,19
Volkswagen Group of America,Flying Spur,Volkswagen Group of America - Midsize Cars,17
Volkswagen Group of America,Flying Spur,Volkswagen Group of America - Midsize Cars,15
Volkswagen Group of America,Mulsanne,Volkswagen Group of America - Midsize Cars,13
BMW,528i,BMW - Midsize Cars,27
